"sp","bin","n_oc","mst","n_suitable","species_count"
"Brachiopoda Eridorthis_australis","Sandbian",NA,NA,NA,NA
"Brachiopoda Hesperorthis_barbata","Sandbian",NA,NA,NA,NA
"Brachiopoda Molongcola_variabilis","Sandbian",NA,NA,NA,NA
"Brachiopoda Phaceloorthis_decoris","Sandbian",NA,NA,NA,NA
"Brachiopoda Ptychopleurella_decretoria","Sandbian",NA,NA,NA,NA
"Brachiopoda Rhynchotrema_oepiki","Sandbian",NA,NA,NA,NA
"Brachiopoda Sowerbyites_isotes","Sandbian",NA,NA,NA,NA
"Brachiopoda Trigrammaria_ampla","Sandbian",NA,NA,NA,NA
"Brachiopoda Chaganella_speciosa","Sandbian",NA,NA,NA,NA
"Brachiopoda Mabella_halis","Sandbian",NA,NA,NA,NA
"Brachiopoda Zygospira_carinata","Sandbian",NA,NA,NA,NA
"Brachiopoda Anoptambonites_exedra","Sandbian",NA,NA,NA,NA
"Brachiopoda Plectorthis_cliefdenensis","Sandbian",NA,NA,NA,NA
"Brachiopoda Webbyspira_principalis","Sandbian",NA,NA,NA,NA
"Brachiopoda Protozyga_definitiva","Sandbian",NA,NA,NA,NA
"Brachiopoda Quondongia_alitis","Sandbian",NA,NA,NA,NA
"Brachiopoda Didymelasma_inconspicua","Sandbian",NA,NA,NA,NA
"Brachiopoda Paraonychoplecia_inversa","Sandbian",NA,NA,NA,NA
"Brachiopoda Skenidioides_quondongensis","Sandbian",NA,NA,NA,NA
"Brachiopoda Leptestiina_indentata","Sandbian","1",NA,"18","68"
"Mollusca Ctenodonta_spjeldnaesi","Sandbian",NA,NA,NA,NA
"Brachiopoda Hedstroemina_ungula","Sandbian",NA,NA,NA,NA
"Brachiopoda Kjerulfina_polycyma","Sandbian",NA,NA,NA,NA
"Brachiopoda Platystrophia_dentata","Sandbian","2","29.72877394041","17","75"
"Brachiopoda Strophomena_keilhaui","Sandbian",NA,NA,NA,NA
"Brachiopoda Sowerbyella_sericea","Sandbian","2","11.2249721603218","19","58"
"Brachiopoda Bicuspina_spiriferoides","Sandbian","1",NA,"14","56"
"Brachiopoda Colaptomena_expansa","Sandbian","1",NA,"14","65"
"Brachiopoda Reuschella_horderleyensis","Sandbian","2","15.2755690343498","12","70"
"Brachiopoda Sericoidea_abdita","Sandbian","1",NA,"15","62"
"Brachiopoda Bancroftina_robusta","Sandbian",NA,NA,NA,NA
"Brachiopoda Dalmanella_unguis","Sandbian",NA,NA,NA,NA
"Brachiopoda Kjaerina_typa","Sandbian",NA,NA,NA,NA
"Brachiopoda Onniella_reuschi","Sandbian",NA,NA,NA,NA
"Brachiopoda Chonetoidea_radiatula","Sandbian",NA,NA,NA,NA
